BFS_NR_GEMEINDE;GEMEINDE_NAME;BEZIRK_NR;BEZIRK_NAME;JAHR;STAATSANGEHOERIGKEIT_CODE;STAATSANGEHOERIGKEIT_BEZEICHNUNG;ANZAHL_PERSONEN
4716;Bettwiesen;2014;Bezirk Münchwilen;2019;8218;Italien;63; 
4716;Bettwiesen;2014;Bezirk Münchwilen;2019;8255;Mazedonien;27; 
4716;Bettwiesen;2014;Bezirk Münchwilen;2019;8231;Portugal;11; 
4716;Bettwiesen;2014;Bezirk Münchwilen;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);127; 
4721;Bichelsee-Balterswil;2014;Bezirk Münchwilen;2019;8207;Deutschland;110; 
4721;Bichelsee-Balterswil;2014;Bezirk Münchwilen;2019;8218;Italien;40; 
4721;Bichelsee-Balterswil;2014;Bezirk Münchwilen;2019;8255;Mazedonien;38; 
4721;Bichelsee-Balterswil;2014;Bezirk Münchwilen;2019;8231;Portugal;10; 
4721;Bichelsee-Balterswil;2014;Bezirk Münchwilen;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);119; 
4723;Braunau;2014;Bezirk Münchwilen;2019;8207;Deutschland;31; 
4723;Braunau;2014;Bezirk Münchwilen;2019;8218;Italien;7; 
4723;Braunau;2014;Bezirk Münchwilen;2019;8255;Mazedonien;1; 
4723;Braunau;2014;Bezirk Münchwilen;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);36; 
4724;Eschlikon;2014;Bezirk Münchwilen;2019;8207;Deutschland;183; 
4724;Eschlikon;2014;Bezirk Münchwilen;2019;8218;Italien;118; 
4724;Eschlikon;2014;Bezirk Münchwilen;2019;8255;Mazedonien;28; 
4724;Eschlikon;2014;Bezirk Münchwilen;2019;8231;Portugal;24; 
4724;Eschlikon;2014;Bezirk Münchwilen;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);282; 
4726;Fischingen;2014;Bezirk Münchwilen;2019;8207;Deutschland;96; 
4726;Fischingen;2014;Bezirk Münchwilen;2019;8218;Italien;16; 
4726;Fischingen;2014;Bezirk Münchwilen;2019;8255;Mazedonien;6; 
4726;Fischingen;2014;Bezirk Münchwilen;2019;8231;Portugal;5; 
4726;Fischingen;2014;Bezirk Münchwilen;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);100; 
4741;Lommis;2014;Bezirk Münchwilen;2019;8207;Deutschland;36; 
4741;Lommis;2014;Bezirk Münchwilen;2019;8218;Italien;22; 
4741;Lommis;2014;Bezirk Münchwilen;2019;8255;Mazedonien;13; 
4741;Lommis;2014;Bezirk Münchwilen;2019;8231;Portugal;20; 
4741;Lommis;2014;Bezirk Münchwilen;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);56; 
4746;Münchwilen;2014;Bezirk Münchwilen;2019;8207;Deutschland;192; 
4746;Münchwilen;2014;Bezirk Münchwilen;2019;8218;Italien;399; 
4746;Münchwilen;2014;Bezirk Münchwilen;2019;8255;Mazedonien;80; 
4746;Münchwilen;2014;Bezirk Münchwilen;2019;8231;Portugal;39; 
4746;Münchwilen;2014;Bezirk Münchwilen;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);471; 
4751;Rickenbach;2014;Bezirk Münchwilen;2019;8207;Deutschland;110; 
4751;Rickenbach;2014;Bezirk Münchwilen;2019;8218;Italien;186; 
4751;Rickenbach;2014;Bezirk Münchwilen;2019;8255;Mazedonien;242; 
4751;Rickenbach;2014;Bezirk Münchwilen;2019;8231;Portugal;37; 
4751;Rickenbach;2014;Bezirk Münchwilen;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);464; 
4756;Schönholzerswilen;2015;Bezirk Weinfelden;2019;8207;Deutschland;28; 
4756;Schönholzerswilen;2015;Bezirk Weinfelden;2019;8218;Italien;1; 
4756;Schönholzerswilen;2015;Bezirk Weinfelden;2019;0;Sonstige (inkl. ausländische Staatsangehörigkeit unbekannt);34; 
