BFS_NR_GEMEINDE;GEMEINDE_NAME;BEZIRK_NR;BEZIRK_NAME;JAHR;GESCHLECHT_CODE;GESCHLECHT_BEZEICHNUNG;NATIONALITAET_CODE;NATIONALITAET_BEZEICHNUNG;ANZAHL_PERSONEN
4701;Wäldi;2013;Bezirk Kreuzlingen;2019;1;Männlich;1;Schweiz;432; 
4701;Wäldi;2013;Bezirk Kreuzlingen;2019;1;Männlich;2;Ausland;104; 
4701;Wäldi;2013;Bezirk Kreuzlingen;2019;2;Weiblich;1;Schweiz;420; 
4701;Wäldi;2013;Bezirk Kreuzlingen;2019;2;Weiblich;2;Ausland;93; 
4711;Affeltrangen;2015;Bezirk Weinfelden;2019;1;Männlich;1;Schweiz;1122; 
4711;Affeltrangen;2015;Bezirk Weinfelden;2019;1;Männlich;2;Ausland;240; 
4711;Affeltrangen;2015;Bezirk Weinfelden;2019;2;Weiblich;1;Schweiz;1066; 
4711;Affeltrangen;2015;Bezirk Weinfelden;2019;2;Weiblich;2;Ausland;175; 
4716;Bettwiesen;2014;Bezirk Münchwilen;2019;1;Männlich;1;Schweiz;486; 
4716;Bettwiesen;2014;Bezirk Münchwilen;2019;1;Männlich;2;Ausland;155; 
4716;Bettwiesen;2014;Bezirk Münchwilen;2019;2;Weiblich;1;Schweiz;459; 
4716;Bettwiesen;2014;Bezirk Münchwilen;2019;2;Weiblich;2;Ausland;123; 
4721;Bichelsee-Balterswil;2014;Bezirk Münchwilen;2019;1;Männlich;1;Schweiz;1313; 
4721;Bichelsee-Balterswil;2014;Bezirk Münchwilen;2019;1;Männlich;2;Ausland;179; 
4721;Bichelsee-Balterswil;2014;Bezirk Münchwilen;2019;2;Weiblich;1;Schweiz;1243; 
4721;Bichelsee-Balterswil;2014;Bezirk Münchwilen;2019;2;Weiblich;2;Ausland;138; 
4723;Braunau;2014;Bezirk Münchwilen;2019;1;Männlich;1;Schweiz;372; 
4723;Braunau;2014;Bezirk Münchwilen;2019;1;Männlich;2;Ausland;41; 
4723;Braunau;2014;Bezirk Münchwilen;2019;2;Weiblich;1;Schweiz;367; 
4723;Braunau;2014;Bezirk Münchwilen;2019;2;Weiblich;2;Ausland;34; 
4724;Eschlikon;2014;Bezirk Münchwilen;2019;1;Männlich;1;Schweiz;1931; 
4724;Eschlikon;2014;Bezirk Münchwilen;2019;1;Männlich;2;Ausland;338; 
4724;Eschlikon;2014;Bezirk Münchwilen;2019;2;Weiblich;1;Schweiz;1898; 
4724;Eschlikon;2014;Bezirk Münchwilen;2019;2;Weiblich;2;Ausland;297; 
4726;Fischingen;2014;Bezirk Münchwilen;2019;1;Männlich;1;Schweiz;1286; 
4726;Fischingen;2014;Bezirk Münchwilen;2019;1;Männlich;2;Ausland;116; 
4726;Fischingen;2014;Bezirk Münchwilen;2019;2;Weiblich;1;Schweiz;1283; 
4726;Fischingen;2014;Bezirk Münchwilen;2019;2;Weiblich;2;Ausland;107; 
4741;Lommis;2014;Bezirk Münchwilen;2019;1;Männlich;1;Schweiz;524; 
4741;Lommis;2014;Bezirk Münchwilen;2019;1;Männlich;2;Ausland;85; 
4741;Lommis;2014;Bezirk Münchwilen;2019;2;Weiblich;1;Schweiz;537; 
4741;Lommis;2014;Bezirk Münchwilen;2019;2;Weiblich;2;Ausland;62; 
4746;Münchwilen;2014;Bezirk Münchwilen;2019;1;Männlich;1;Schweiz;2181; 
4746;Münchwilen;2014;Bezirk Münchwilen;2019;1;Männlich;2;Ausland;643; 
4746;Münchwilen;2014;Bezirk Münchwilen;2019;2;Weiblich;1;Schweiz;2305; 
4746;Münchwilen;2014;Bezirk Münchwilen;2019;2;Weiblich;2;Ausland;538; 
4751;Rickenbach;2014;Bezirk Münchwilen;2019;1;Männlich;1;Schweiz;842; 
4751;Rickenbach;2014;Bezirk Münchwilen;2019;1;Männlich;2;Ausland;556; 
4751;Rickenbach;2014;Bezirk Münchwilen;2019;2;Weiblich;1;Schweiz;917; 
4751;Rickenbach;2014;Bezirk Münchwilen;2019;2;Weiblich;2;Ausland;483; 
4756;Schönholzerswilen;2015;Bezirk Weinfelden;2019;1;Männlich;1;Schweiz;404; 
4756;Schönholzerswilen;2015;Bezirk Weinfelden;2019;1;Männlich;2;Ausland;36; 
4756;Schönholzerswilen;2015;Bezirk Weinfelden;2019;2;Weiblich;1;Schweiz;379; 
4756;Schönholzerswilen;2015;Bezirk Weinfelden;2019;2;Weiblich;2;Ausland;27; 
4761;Sirnach;2014;Bezirk Münchwilen;2019;1;Männlich;1;Schweiz;2913; 
4761;Sirnach;2014;Bezirk Münchwilen;2019;1;Männlich;2;Ausland;1024; 
4761;Sirnach;2014;Bezirk Münchwilen;2019;2;Weiblich;1;Schweiz;2982; 
4761;Sirnach;2014;Bezirk Münchwilen;2019;2;Weiblich;2;Ausland;864; 
4776;Tobel-Tägerschen;2014;Bezirk Münchwilen;2019;1;Männlich;1;Schweiz;670; 
4776;Tobel-Tägerschen;2014;Bezirk Münchwilen;2019;1;Männlich;2;Ausland;141; 
4776;Tobel-Tägerschen;2014;Bezirk Münchwilen;2019;2;Weiblich;1;Schweiz;668; 
4776;Tobel-Tägerschen;2014;Bezirk Münchwilen;2019;2;Weiblich;2;Ausland;122; 
4781;Wängi;2014;Bezirk Münchwilen;2019;1;Männlich;1;Schweiz;2092; 
4781;Wängi;2014;Bezirk Münchwilen;2019;1;Männlich;2;Ausland;359; 
4781;Wängi;2014;Bezirk Münchwilen;2019;2;Weiblich;1;Schweiz;1960; 
4781;Wängi;2014;Bezirk Münchwilen;2019;2;Weiblich;2;Ausland;331; 
4786;Wilen;2014;Bezirk Münchwilen;2019;1;Männlich;1;Schweiz;1099; 
4786;Wilen;2014;Bezirk Münchwilen;2019;1;Männlich;2;Ausland;177; 
4786;Wilen;2014;Bezirk Münchwilen;2019;2;Weiblich;1;Schweiz;1094; 
4786;Wilen;2014;Bezirk Münchwilen;2019;2;Weiblich;2;Ausland;145; 
4791;Wuppenau;2015;Bezirk Weinfelden;2019;1;Männlich;1;Schweiz;522; 
4791;Wuppenau;2015;Bezirk Weinfelden;2019;1;Männlich;2;Ausland;44; 
4791;Wuppenau;2015;Bezirk Weinfelden;2019;2;Weiblich;1;Schweiz;518; 
4791;Wuppenau;2015;Bezirk Weinfelden;2019;2;Weiblich;2;Ausland;34; 
4801;Berlingen;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;322; 
4801;Berlingen;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;124; 
4801;Berlingen;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;348; 
4801;Berlingen;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;100; 
4806;Eschenz;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;732; 
4806;Eschenz;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;202; 
4806;Eschenz;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;740; 
4806;Eschenz;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;159; 
4811;Herdern;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;506; 
4811;Herdern;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;68; 
4811;Herdern;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;490; 
4811;Herdern;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;47; 
4816;Homburg;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;683; 
4816;Homburg;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;70; 
4816;Homburg;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;731; 
4816;Homburg;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;57; 
4821;Hüttwilen;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;792; 
4821;Hüttwilen;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;99; 
4821;Hüttwilen;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;785; 
4821;Hüttwilen;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;93; 
4826;Mammern;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;234; 
4826;Mammern;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;91; 
4826;Mammern;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;245; 
4826;Mammern;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;88; 
4831;Müllheim;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;1225; 
4831;Müllheim;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;292; 
4831;Müllheim;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;1253; 
4831;Müllheim;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;225; 
4841;Pfyn;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;854; 
4841;Pfyn;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;172; 
4841;Pfyn;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;916; 
4841;Pfyn;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;123; 
4846;Raperswilen;2013;Bezirk Kreuzlingen;2019;1;Männlich;1;Schweiz;187; 
4846;Raperswilen;2013;Bezirk Kreuzlingen;2019;1;Männlich;2;Ausland;25; 
4846;Raperswilen;2013;Bezirk Kreuzlingen;2019;2;Weiblich;1;Schweiz;182; 
